Timestamp,X1,Y1,X2,Y2,Confidence,Class
2024-04-29 22:02:08,tensor(3.2528),tensor(0.5355),tensor(637.9237),tensor(633.3828),tensor(0.2677),person
2024-04-29 22:02:10,tensor(3.0414),tensor(0.4535),tensor(638.8951),tensor(627.3380),tensor(0.2798),person
2024-04-29 22:02:12,tensor(6.0934),tensor(0.3719),tensor(638.8490),tensor(632.1796),tensor(0.2535),person
2024-04-29 22:02:14,tensor(7.5745),tensor(0.1104),tensor(638.9777),tensor(626.0801),tensor(0.2935),person
2024-04-29 22:02:22,tensor(5.1078),tensor(0.0707),tensor(638.5511),tensor(628.0448),tensor(0.2758),person
2024-04-29 22:02:26,tensor(9.3577),tensor(0.3440),tensor(638.3729),tensor(629.6278),tensor(0.2659),person
2024-04-29 22:02:48,tensor(6.6420),tensor(0.1592),tensor(637.6094),tensor(630.1564),tensor(0.2705),person
2024-04-29 22:02:50,tensor(4.8558),tensor(0.2986),tensor(637.9455),tensor(630.2286),tensor(0.2844),person
2024-04-29 22:02:51,tensor(4.3708),tensor(0.1458),tensor(637.5206),tensor(631.0623),tensor(0.2826),person
2024-04-29 22:02:57,tensor(4.6506),tensor(0.2352),tensor(638.5138),tensor(631.8621),tensor(0.3225),person
2024-04-29 22:02:59,tensor(4.9413),tensor(0.3000),tensor(639.3724),tensor(633.6410),tensor(0.2977),person
2024-04-29 22:03:22,tensor(214.8468),tensor(285.3071),tensor(317.2968),tensor(440.8088),tensor(0.7570),person
2024-04-29 22:03:23,tensor(251.9163),tensor(315.1900),tensor(347.8945),tensor(474.4820),tensor(0.5645),person
2024-04-29 22:03:24,tensor(261.8886),tensor(302.6711),tensor(357.0093),tensor(450.1495),tensor(0.8555),person
2024-04-29 22:03:26,tensor(253.0540),tensor(290.1378),tensor(347.8444),tensor(436.2601),tensor(0.8341),person
2024-04-29 22:03:27,tensor(249.2917),tensor(303.1847),tensor(344.2309),tensor(446.2178),tensor(0.8410),person
2024-04-29 22:03:29,tensor(286.1945),tensor(297.5092),tensor(376.9660),tensor(447.3181),tensor(0.8331),person
2024-04-29 22:03:29,tensor(14.1848),tensor(388.2494),tensor(93.1132),tensor(524.4651),tensor(0.2513),person
2024-04-29 22:03:30,tensor(325.3596),tensor(295.7097),tensor(418.2617),tensor(441.9093),tensor(0.8253),person
2024-04-29 22:03:30,tensor(31.3104),tensor(383.8886),tensor(117.3866),tensor(511.7300),tensor(0.7040),person
2024-04-29 22:03:31,tensor(272.1393),tensor(304.5635),tensor(373.3611),tensor(449.0953),tensor(0.7799),person
2024-04-29 22:03:31,tensor(0.1309),tensor(356.3631),tensor(91.1985),tensor(500.3016),tensor(0.7504),person
2024-04-29 22:03:32,tensor(292.7047),tensor(320.2873),tensor(390.8954),tensor(460.2803),tensor(0.7581),person
